CustomerID,Conversion,rf_score,rf_decile,priority_segment,AdSpend,ConversionRate,WebsiteVisits,PreviousPurchases,LoyaltyPoints,EngagementScore
8000,1,0.582870996243927,9,Low,6497.870068417766,0.088031412072881,0,4,688.0,0.32959375
8001,1,0.7531105942574285,6,Medium,3898.6686056807257,0.18272468252179,42,2,3459.0,0.46743749999999995
8002,1,0.7121627132929317,7,Medium,1546.4295957990923,0.0764227200769893,2,8,2337.0,0.4838046875
8003,1,0.6578898485797561,8,Low,539.5259357793692,0.0880041866896052,47,0,2463.0,0.5558515625
8004,1,0.7839309808692048,4,Medium,1678.0435726570656,0.1099401031792947,0,8,4345.0,0.4314296875
8005,1,0.77454909416102,5,Medium,9579.388246784005,0.1613161264701013,6,0,3316.0,0.5156875
8006,1,0.6442054326569204,8,Low,7302.8998515526,0.0609768202791524,42,6,930.0,0.45414062499999996
8007,1,0.7744722445856754,5,Medium,5324.283667249509,0.1889459248608511,48,0,2983.0,0.5268359374999999
8008,1,0.768145430598744,5,Medium,9421.250950540458,0.1125850114170922,13,5,460.0,0.511328125
8009,1,0.6233676283731617,9,Low,6229.193333047879,0.1697856796231377,22,8,3789.0,0.35090625
8010,1,0.8396387424931622,2,High,7283.887363978606,0.1098675118566435,47,6,1987.0,0.6269218750000001
8011,1,0.8014437483073962,3,High,2898.2530032081336,0.1566787071906025,16,5,2403.0,0.5662578125000001
8012,1,0.840708803192357,2,High,5930.920251533039,0.0197699429720159,13,4,2946.0,0.5190625
8013,1,0.702044489145019,7,Medium,1520.4247185486186,0.1618503715197726,8,2,2818.0,0.5938828125000001
8014,1,0.7507301934434705,6,Medium,4104.383137457977,0.109552291663889,20,1,3247.0,0.56715625
8015,0,0.2943598260285173,10,Low,429.07921736744015,0.0953889617554506,44,1,4474.0,0.3555000000000001
8016,1,0.8239722782897648,2,High,2244.6180670685367,0.0312058366562549,1,8,3252.0,0.4508515625
8017,1,0.8556609186735219,1,High,841.1994312844795,0.1508968823926174,31,2,3463.0,0.65121875
8018,1,0.7102187578141388,7,Medium,3939.010313121591,0.0349210939757863,7,6,2222.0,0.4186953125
8019,1,0.8432875972135391,1,High,8446.048129921053,0.0465403844327586,35,3,3644.0,0.5591093749999999
8020,1,0.5165638368615203,9,Low,3841.5476528160257,0.0340204185848331,25,6,1651.0,0.36478906250000004
8021,1,0.72714525349835,7,Medium,8333.232297346969,0.011871636446514077,36,5,2586.0,0.5038437499999999
8022,1,0.8797243226478443,1,High,6599.333294530985,0.1357636182127649,14,9,1989.0,0.656171875
8023,1,0.7727018737204756,5,Medium,5144.341521645195,0.0614603685066052,33,3,1417.0,0.3635625
8024,1,0.51607903065775,9,Low,2445.2277632871724,0.0383993872462522,20,2,1563.0,0.397734375
8025,1,0.8127389470180547,3,High,9229.345319157108,0.0707947716777232,22,3,2227.0,0.5355624999999999
8026,0,0.41491406037587764,10,Low,636.5880075361293,0.1048260913938686,8,1,129.0,0.3963515625
8027,1,0.7422905816481973,6,Medium,6920.238875218272,0.1056483789680143,39,1,2688.0,0.5740390625
8028,1,0.7719288880376867,5,Medium,6250.274938812751,0.0797672415830722,25,3,68.0,0.5446015625
8029,1,0.8367946138961375,2,High,4466.311070339615,0.1040371314978715,42,2,3079.0,0.5999140625
8030,1,0.7878836573168977,4,Medium,2479.1774573967928,0.0911948769810488,21,4,1011.0,0.598921875
8031,1,0.818590556220211,3,High,4363.889774768142,0.1663063969270523,12,0,911.0,0.6518046875
8032,1,0.7847873363388139,4,Medium,8740.449982978864,0.0156266538233245,24,6,4683.0,0.39713281250000004
8033,1,0.7466596966748082,6,Medium,8383.984491524046,0.1749257253313789,6,3,467.0,0.607890625
8034,1,0.7574491410168883,6,Medium,9419.674374772589,0.0563438985789388,26,5,653.0,0.453140625
8035,1,0.7198737981193309,7,Medium,3147.1527455899554,0.1471386208568876,14,1,2429.0,0.5194609375
8036,1,0.7615796619770737,5,Medium,3932.3311678518417,0.0869575271046961,11,3,1066.0,0.5274531250000001
8037,1,0.5744539788018139,9,Low,285.3889113326469,0.0659232632559093,44,4,257.0,0.4451171875
8038,1,0.8518828831665268,1,High,9435.204947728082,0.126916000869978,32,5,4709.0,0.5774375
8039,1,0.5285405549980865,9,Low,3360.961908990961,0.1560880395839898,20,0,2885.0,0.308921875
8040,1,0.7814143903658721,4,Medium,4101.221833176633,0.0954879260896847,24,3,1476.0,0.46284375
8041,1,0.7284229061479689,7,Medium,9087.265653329208,0.0986452301824413,39,1,3243.0,0.48399218749999995
8042,1,0.8471051692290533,1,High,5313.32445865145,0.0211827321058591,46,9,3513.0,0.607265625
8043,0,0.3195815787038037,10,Low,5705.127963379232,0.1855592363192903,21,0,913.0,0.4684609375
8044,1,0.8295411225841992,2,High,1844.7050976940768,0.1709103723247892,13,8,2136.0,0.5282734375
8045,1,0.7185011964745681,7,Medium,5036.734206104679,0.0856186296330627,7,0,284.0,0.554296875
8046,1,0.8007700258799031,3,High,9190.265148996865,0.1553406165005061,23,1,4275.0,0.4744453125
8047,1,0.7964542077049624,4,Medium,5631.309072268467,0.0695230433846072,2,8,3388.0,0.3825
8048,1,0.7547501405051648,6,Medium,2625.652009933605,0.1487801406724272,11,7,883.0,0.5967656250000001
8049,1,0.7869044261908301,4,Medium,408.69055493415215,0.1081714261471714,46,9,3404.0,0.7360675000000002
8050,1,0.7311092031545701,6,Medium,3429.387557195273,0.0975456772217527,21,9,4788.0,0.5116328125
8051,1,0.7655855028766595,5,Medium,5768.650049238134,0.0207393694790417,15,9,4720.0,0.3796015625
8052,1,0.7276648895214852,7,Medium,521.8715548712182,0.1934301651436839,6,3,2124.0,0.5518515625
8053,1,0.6255777494263244,9,Low,6136.946515182446,0.1691077042768998,17,1,3219.0,0.4288984375
8054,1,0.843389325399196,1,High,5281.796888469316,0.1607437329174248,44,7,4930.0,0.5345156249999999
8055,1,0.780865655046157,4,Medium,7856.011144749052,0.0679340775542076,22,2,1977.0,0.42851562499999996
8056,1,0.7542060606844475,6,Medium,385.99290549242215,0.0650221350405093,25,9,3851.0,0.464203125
8057,1,0.570798115280666,9,Low,7830.388713705501,0.1189066883529833,37,0,336.0,0.45783593749999996
8058,1,0.7658066431216237,5,Medium,5256.682753005258,0.1707824072829682,1,1,465.0,0.5217812500000001
8059,1,0.7581561364589353,5,Medium,3768.240394519144,0.1875793971720439,1,3,3434.0,0.46140624999999996
8060,1,0.49371422220469713,10,Low,9657.291465952358,0.061096514941483,21,0,1035.0,0.35572656249999995
8061,1,0.6916109965848632,7,Medium,1685.183517636925,0.1254088120606893,37,5,2604.0,0.6649765625
8062,1,0.8217839845111867,2,High,5459.118679001954,0.1475415319797584,41,3,716.0,0.7051875
8063,1,0.7673993284383563,5,Medium,3277.7165885655363,0.0530145075848125,27,5,3979.0,0.49949999999999994
8064,1,0.7995079398975139,3,High,5322.115150073824,0.0874190397422606,16,4,824.0,0.5690859375
8065,1,0.6740026077903641,8,Low,5567.52698054608,0.0456201120055917,47,3,125.0,0.45390625000000007
8066,1,0.7487584408313454,6,Medium,985.5376594059732,0.1427919647759835,17,6,643.0,0.6439609375
8067,1,0.82831660756451,2,High,6645.237954491662,0.1741191759435875,1,6,4051.0,0.5140156250000001
8068,1,0.8140647339664165,3,High,6381.366809598217,0.1767315273648144,34,3,4280.0,0.47643749999999996
8069,1,0.6533289752532326,8,Low,7717.726018881193,0.1373168853936143,14,3,3849.0,0.36200000000000004
8070,1,0.6944409895898209,7,Medium,997.5190872257928,0.075958948433129,14,3,1328.0,0.4507890625
8071,1,0.6716963312303625,8,Low,3042.8596143465093,0.1355976716023083,43,7,558.0,0.5236015625
8072,1,0.784675450443788,4,Medium,6536.094937308202,0.1742106781624555,44,4,2761.0,0.489953125
8073,1,0.7878723477916284,4,Medium,1453.635176564524,0.1289126084477988,33,4,2918.0,0.625875
8074,1,0.7689346030225298,5,Medium,6808.222286805579,0.0884494686562144,49,8,3483.0,0.35363281250000006
8075,1,0.6443241504760713,8,Low,684.3644371221876,0.1847625226366098,14,9,52.989999999999995,0.49173437500000006
8076,1,0.8001845525776615,3,High,3415.8223743003146,0.168691152721191,17,5,2751.0,0.5798671875
8077,1,0.6569165026746141,8,Low,8482.440111091939,0.1776626956470842,12,3,1964.0,0.37467968749999997
8078,1,0.8789879964132151,1,High,7765.483774773485,0.1816064839976559,37,6,4031.0,0.6643515625
